Student_ID,Gender,Age,Degree,CGPA,Internships_Count,Projects_Count,Certifications_Count,Technical_Skills_Score_100,Communication_Skills_Score_100,Aptitude_Test_Score_100,Placement_Offer,Salary_Offered_USD
1,Male,19,Business,2.56,3,8,0,64,42,57,Yes,8047.08
2,Female,27,Engineering,3.66,0,5,2,78,54,40,Yes,3518.56
3,Male,26,Data Science,3.73,0,5,1,61,54,49,No,11791.75
4,Male,18,Computer Science,2.21,2,8,5,66,42,72,Yes,13946.28
5,Male,20,Business,2.59,3,9,2,69,50,53,No,10951.66
6,Male,21,Computer Science,3.04,2,4,0,64,74,91,No,19631.72
7,Male,25,Data Science,2.42,4,8,4,50,61,65,Yes,14820.55
8,Female,28,Data Science,2.48,4,8,2,96,57,50,No,13036.97
9,Female,27,Engineering,3.02,0,3,4,49,84,76,Yes,16192.47
10,Male,29,Data Science,3.01,2,4,2,70,90,67,No,12022.49
11,Female,28,Arts,2.14,0,2,1,92,78,78,Yes,17819.5
12,Female,20,Data Science,2.18,4,5,0,95,91,42,Yes,10923.5
13,Male,25,Data Science,3.75,4,6,3,59,58,88,Yes,4770.96
14,Female,27,Business,2.42,2,6,3,42,85,48,Yes,6365.33
15,Male,25,Engineering,2.97,3,2,5,92,79,71,No,10596.11
16,Female,19,Arts,2.93,0,4,0,59,56,92,Yes,10484.99
17,Male,28,Computer Science,3.19,2,2,0,47,93,56,No,18755.05
18,Female,22,Engineering,2.46,4,5,2,79,94,73,Yes,10333.46
19,Female,28,Arts,3.49,0,2,4,74,86,94,Yes,4398.37
20,Male,29,Arts,2.6,1,9,0,75,40,86,No,11139.73
21,Male,25,Business,2.55,0,1,4,47,74,97,No,15116.57
22,Male,22,Business,3.7,3,6,3,66,64,70,No,6889.4
23,Female,25,Arts,2.79,2,9,5,71,48,74,No,17820.39
24,Female,26,Computer Science,2.19,2,3,5,45,53,48,Yes,3127.2
25,Female,28,Computer Science,2.9,3,9,3,99,97,41,Yes,14979.79
26,Male,18,Computer Science,3.32,0,2,0,72,54,49,Yes,7242.88
27,Female,20,Data Science,2.57,0,2,2,79,58,65,Yes,15396.65
28,Male,25,Engineering,3.98,4,2,0,43,80,57,No,13311.94
29,Male,22,Data Science,2.99,0,3,1,57,86,87,No,18333.77
30,Male,21,Arts,2.68,1,4,4,70,63,88,No,4496.08
31,Male,25,Computer Science,3.8,3,3,2,80,82,70,No,11313.22
32,Female,21,Computer Science,3.57,4,6,5,90,89,55,Yes,13330.57
33,Female,25,Arts,2.96,2,6,2,61,71,65,Yes,17702.16
34,Female,18,Engineering,2.17,3,5,2,77,55,51,No,3260.97
35,Male,25,Arts,3.37,2,2,2,75,94,80,No,16509.41
36,Male,24,Arts,2.9,3,4,2,47,50,48,No,11103.91
37,Female,26,Computer Science,2.5,2,7,1,94,50,94,Yes,18235.2
38,Male,24,Computer Science,2.24,2,8,5,93,62,94,Yes,4660.25
39,Male,28,Engineering,3.98,4,9,2,86,79,69,No,6885.25
40,Female,26,Business,2.11,0,2,3,92,82,65,No,11364.8
41,Male,18,Computer Science,2.64,0,9,3,40,59,86,No,14681.45
42,Female,23,Business,3.32,3,7,4,43,97,77,No,5191.54
43,Male,21,Computer Science,3.49,4,7,0,72,78,98,Yes,13320.95
44,Female,20,Engineering,3.91,0,1,4,49,42,86,No,10405.9
45,Female,22,Data Science,2.88,2,8,3,99,77,93,No,8891.29
46,Female,21,Computer Science,3.96,3,3,1,69,57,89,Yes,15146.61
47,Male,21,Arts,2.54,0,4,5,45,79,97,Yes,12618.15
48,Male,27,Engineering,2.65,1,4,0,52,63,48,Yes,4530.72
49,Male,25,Business,2.25,0,2,1,82,59,82,Yes,9592.81
50,Male,19,Computer Science,2.1,2,3,1,71,53,48,Yes,3623.01
51,Female,26,Data Science,2.25,4,5,0,64,60,74,Yes,9430.73
52,Female,18,Data Science,2.0,3,3,3,86,60,50,Yes,18707.32
53,Male,19,Data Science,3.51,2,5,5,41,50,41,No,13697.39
54,Male,22,Computer Science,3.48,2,8,5,80,84,69,No,15118.06
55,Female,25,Data Science,2.04,1,8,2,60,74,76,No,7986.97
56,Male,20,Arts,3.32,2,3,5,60,85,95,No,14612.89
57,Female,29,Business,2.46,1,5,4,59,75,90,Yes,19308.35
58,Male,29,Business,3.11,2,1,3,44,83,81,Yes,15558.83
59,Male,22,Arts,2.32,0,7,1,96,48,87,No,17565.23
60,Female,26,Business,3.45,3,3,3,96,41,90,No,5493.02
